epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,158.989,1.14281,0.85435,1.07325,0.82297,0.75334,0.84067,0.56286,1.15753,0.7874,1.07801,7.70002e-05,7.70002e-05,7.70002e-05
48,161.895,1.15554,0.88719,1.07913,0.84185,0.7338,0.84703,0.57979,1.14823,0.78336,1.07871,7.65002e-05,7.65002e-05,7.65002e-05
49,164.807,1.19341,0.94727,1.08884,0.82382,0.73423,0.83519,0.56582,1.16204,0.78196,1.08726,7.60002e-05,7.60002e-05,7.60002e-05
50,167.592,1.11999,0.82837,1.06605,0.78543,0.7492,0.81833,0.56608,1.15049,0.774,1.0824,7.55002e-05,7.55002e-05,7.55002e-05
51,171.532,1.16567,0.85404,1.08468,0.81947,0.66995,0.80271,0.55369,1.136,0.76987,1.0721,7.50003e-05,7.50003e-05,7.50003e-05
52,174.283,1.1155,0.81796,1.08216,0.74702,0.70423,0.79925,0.54405,1.13806,0.77262,1.07311,7.45003e-05,7.45003e-05,7.45003e-05
53,177.19,1.12154,0.84414,1.07968,0.72947,0.75493,0.79638,0.53457,1.1538,0.77105,1.07871,7.40003e-05,7.40003e-05,7.40003e-05
54,180.006,1.07945,0.78069,1.04747,0.75342,0.74789,0.80396,0.54497,1.15524,0.76479,1.08023,7.35003e-05,7.35003e-05,7.35003e-05
55,184.047,1.09734,0.83538,1.05998,0.78414,0.74789,0.82484,0.55046,1.15402,0.76371,1.08239,7.30003e-05,7.30003e-05,7.30003e-05
56,186.898,1.15768,0.87241,1.06634,0.79788,0.71585,0.82382,0.54764,1.15506,0.76236,1.086,7.25003e-05,7.25003e-05,7.25003e-05
57,190.112,1.08896,0.81509,1.05442,0.81304,0.73744,0.81723,0.54904,1.14541,0.75886,1.08095,7.20003e-05,7.20003e-05,7.20003e-05
58,192.905,1.14851,0.86433,1.05722,0.79667,0.74085,0.81686,0.55243,1.14153,0.76043,1.07428,7.15003e-05,7.15003e-05,7.15003e-05
59,196.641,1.06091,0.80545,1.07037,0.79179,0.74437,0.813,0.54788,1.15151,0.75509,1.07069,7.10003e-05,7.10003e-05,7.10003e-05
60,199.588,1.08692,0.80388,1.04988,0.79313,0.74085,0.82064,0.54953,1.16175,0.75716,1.07319,7.05003e-05,7.05003e-05,7.05003e-05
61,202.329,1.08396,0.81566,1.04767,0.80805,0.74085,0.82842,0.54346,1.15946,0.75776,1.0726,7.00003e-05,7.00003e-05,7.00003e-05
62,205.28,1.05095,0.818,1.04315,0.82717,0.7338,0.83555,0.55186,1.16097,0.75746,1.07443,6.95003e-05,6.95003e-05,6.95003e-05
63,208.324,1.07188,0.79381,1.04808,0.77237,0.76813,0.81298,0.55152,1.15486,0.75202,1.07446,6.90003e-05,6.90003e-05,6.90003e-05
64,211.815,1.03933,0.78193,1.05641,0.76012,0.80388,0.81869,0.54802,1.15499,0.75051,1.07744,6.85003e-05,6.85003e-05,6.85003e-05
65,214.723,1.1006,0.82597,1.03371,0.7957,0.74837,0.82142,0.56098,1.14423,0.73971,1.07572,6.80003e-05,6.80003e-05,6.80003e-05
66,217.618,1.06734,0.78201,1.05152,0.80364,0.74789,0.83595,0.57822,1.13995,0.74412,1.07463,6.75003e-05,6.75003e-05,6.75003e-05
67,220.534,1.14462,0.86162,1.04996,0.79363,0.77289,0.83409,0.57063,1.13596,0.75075,1.06836,6.70003e-05,6.70003e-05,6.70003e-05
68,224.41,1.0437,0.79111,1.02641,0.78059,0.75141,0.82803,0.56583,1.13505,0.75263,1.06536,6.65003e-05,6.65003e-05,6.65003e-05
